"pred"	"rep"	"extinct"	"act_dev_bflast"	"act_dev"	"fin_yield_bflast"	"fin_yield"	"ineq_bflast"	"ineq"	"SAbsD"	"final_ts"
0	1	0	0.1865	0.125	34645.5625	36709.75	0.076227569898456	0.0858307045215563	10627	20
0	2	0	-0.1905	0.1825	34974.1875	33135.765625	0.0900048020854771	0.0721349621873182	11490	20
0	3	0	0.545	-0.2215	30992.4375	40000	0.096189519245633	0	11290	20
0	4	1	-0.9865	-100	39970	100	0.004	0	6619	6
0	5	0	-0.501	-0.4275	36951.3125	36358.0625	0.0480972515856237	0.049655916880313	11327	20
0	6	0	0.7005	-0.1325	31656.1015625	39958	0.0992250417869625	0.0035	13161	20
0	7	0	-0.3405	-0.3935	39832.5	34649.78125	0.00676014021031547	0.0738399555432065	12242	20
0	8	0	-0.144	0.6625	34652.3125	32662.21875	0.0852194314104333	0.086348322835799	10054	20
0	9	0	-0.1505	0.12	39850.25	32748.625	0.00850850850850851	0.0918401178854301	11213	20
0	10	0	-0.2965	-0.397	40000	34196.0625	0	0.0634407089604726	10850	20
0	11	0	-0.9685	-1	39880	40000	0.0085	0	17062	20
0	12	0	-0.0669999999999999	-0.0645	39731	31915.46875	0.0145072536268134	0.0805100731909756	11132	20
0	13	0	-0.3415	-0.0935	34499.03125	34662.875	0.0817766708177667	0.0981823189204076	10672	20
0	14	1	-0.9945	-100	39994.25	100	0.00225	0	11554	13
0	15	0	0.319	-0.3725	31665.59375	39916.25	0.0872399758818209	0.00400200100050025	9479	20
0	16	0	-0.1325	0.3005	34869.03125	32548.1875	0.0737501721525961	0.128462099125364	11363	20
0	17	0	0.2	0.114	32754.375	36899.0625	0.0765705838876571	0.0783854166666667	11549	20
0	18	0	-0.0975	0.339	34228.96875	32232.1875	0.0718604978202784	0.0873757712343444	10807	20
0	19	0	0.5155	-0.2915	31251.78125	39976	0.103793024498207	0.007	11494	20
0	20	0	0.2205	-0.4095	33133.78125	37743.375	0.0740270113273308	0.0404249805649132	12201	20
0	21	0	-0.6275	-0.51	37476.375	37761.3125	0.048004174276024	0.0589147286821705	14374	20
0	22	1	-0.9885	-100	39976	100	0.0065	0	11054	10
0	23	0	0.136	-0.227	33367.875	34480.28125	0.0742481203007519	0.0651198654142717	11064	20
0	24	1	-0.9675	-100	39791.5	100	0.0105105105105105	0	8737	10
0	25	0	-0.2635	0.0580000000000001	35679.375	33867.25	0.0743188010899183	0.0873464199971755	12708	20
0	26	0	-0.393	-0.2645	38109.5	35210.5625	0.0417308680020544	0.054995163741882	11023	20
0	27	0	-0.389	-0.472	36985.5625	35167.0625	0.0490079365079365	0.0759233926128591	11776	20
0	28	0	-0.341	-0.0525	34527.375	34651	0.0701052631578947	0.0855064507274225	10946	20
0	29	0	-0.293	-0.0885	40000	34156.96875	0	0.0858423190029408	11031	20
0	30	0	-0.82	-0.9595	38473.125	39700.75	0.0358555569733316	0.014521782674011	15618	20
0	31	0	-0.305	-0.4485	39736.5	34300.34375	0.0100250626566416	0.0650854157842722	11308	20
0	32	0	-0.34	-0.385	39886.25	34642.9375	0.00600300150075038	0.0695507024620949	10618	20
0	33	0	0.2175	-0.387	33092.90625	37633.1875	0.0827891452619359	0.0484730344379467	10379	20
0	34	0	-0.2715	-0.284	40000	33939.4375	0	0.0846656471569582	11342	20
0	35	0	0.5265	-0.2555	31146.578125	39970	0.112202959198924	0.0025	10805	20
0	36	1	-0.958	-100	39737	100	0.0142785571142285	0	13188	16
0	37	0	-0.4635	-0.3195	35229.28125	35948.3125	0.0697706171490989	0.0539083557951483	11912	20
0	38	0	-0.3945	-0.486	38504.25	35230.4375	0.0245964642582629	0.0750342935528121	12766	20
0	39	1	-0.995	-100	40000	100	0	0	12651	14
0	40	0	-0.515	-0.456	35445.65625	36514.625	0.0579243213600219	0.0614116708759803	11069	20
0	41	0	0.519	-0.249	31054.828125	39982	0.110955056179775	0.0015	11466	20
0	42	1	-0.9465	-100	39553.5	100	0.0158211953792064	0	9218	10
0	43	0	-0.115	0.35	33680.640625	32387.796875	0.100856861918809	0.0959870645303543	11388	20
0	44	0	-0.302	-0.4205	40000	34251.34375	0	0.0889918406859356	13935	20
0	45	0	-0.244	-0.285	40000	33674.203125	0	0.0663978107446349	11242	20
0	46	0	-0.1365	0.2645	32763.1875	32593.875	0.0791981235798578	0.0919356013695636	10062	20
0	47	0	-0.327	-0.325	35306.4375	34515.5	0.0688054607508532	0.0448649798001276	10665	20
0	48	0	-0.3705	-0.163	36091.25	34955.9375	0.058775950390941	0.0522907673026041	11383	20
0	49	0	-0.943	-0.999	39542.5	40000	0.018546365914787	0	15646	20
0	50	0	-0.1135	0.373	34549.75	32389.90625	0.0724748883928571	0.0792079207920792	9395	20
0	51	0	-0.245	0.00600000000000001	39982	33671.84375	0.0015	0.0688614146060955	11380	20
0	52	0	0.014	0.789	32752.265625	31157.328125	0.0898668639053254	0.0832369496491634	10198	20
0	53	0	0.0880000000000001	0.101	33868.28125	32733.953125	0.086947308941941	0.0734925549167035	12917	20
0	54	0	-0.3655	-0.4355	39748.5	34912.375	0.011255627813907	0.0634343998882213	12607	20
0	55	0	-0.256	0.335	33554.375	33785.75	0.065096452568456	0.0429857682253848	11448	20
0	56	0	-0.577	-0.6075	37298.1875	37192.3125	0.0500908383078121	0.0466614090431125	13066	20
0	57	0	0.492	-0.2665	31568.8125	40000	0.0837226827430294	0	12261	20
0	58	0	0.1225	-0.0745	34723.53125	34005.59375	0.0627699595931448	0.0940656565656566	10235	20
0	59	0	0.567	-0.139	33036.78125	39940	0.0749709976798144	0.003	11024	20
0	60	0	0.41	-0.3485	31519.40625	40000	0.100590819572792	0	10566	20
0	61	0	-0.1555	0.26	33599	32797.125	0.0785642208447456	0.0937042459736457	10971	20
0	62	0	0.0625	-0.162	39085.375	31657.59375	0.0374873353596758	0.0814921307506053	10818	20
0	63	0	-0.423	-0.207	34808.171875	35510.875	0.0859553281239195	0.0608043626448534	11020	20
0	64	0	0.124	-0.087	34472.265625	33986.5625	0.0904162902216971	0.0846279350216358	11507	20
0	65	0	-0.321	-0.2785	35303.3125	34458.0625	0.061307901907357	0.0705353379232823	9467	20
0	66	0	-0.3725	-0.211	40000	34987.125	0	0.0702519379844961	10274	20
0	67	0	-0.403	-0.4825	36685.875	35306.3125	0.0684625492772667	0.07778231848522	10712	20
0	68	0	0.0365	0.575	34095.78125	30956.203125	0.0840347923681257	0.110899680316639	9831	20
0	69	0	-0.0185	0.382	33351.625	31430.21875	0.0631878142992493	0.0978967495219885	10580	20
0	70	0	-0.3905	0.0165	34534	35173.75	0.0709785804283914	0.0618928670552318	10266	20
0	71	0	-0.024	0.494	31791.09375	31507.625	0.0827419598369319	0.126380644676535	11822	20
0	72	0	-0.2845	-0.19	34957.0625	34101.53125	0.084113436123348	0.080259222333001	10666	20
0	73	0	-0.341	0.0945	35915.5	34647.09375	0.0635218440096489	0.0537026568682872	11977	20
0	74	0	-0.339	-0.073	34304.96875	34659.9375	0.0843474611833823	0.0754349338900487	11594	20
0	75	0	-0.0755	0.4155	34010.34375	31995.78125	0.068061705470647	0.0851482940608043	10752	20
0	76	0	-0.2885	0.277	33879.3125	34103	0.0735105929190957	0.0485832856325129	11707	20
